store,initial longitude,initial latitude,neighbor id,neighbor store,neighbor longitude,neighbor latitude,distance,counts,id,business_id,name,address,postal_code,attributes,stars,categories
Wok Box,-113.4909286,53.54438782,94829,Joey's Seafood Restaurants,-113.4236,53.600143,[ 76 326  21 385 119 282 150  41 192 145 170  72 476 329 410  46 430 515],16,94829,z1u7il-zkVTHqxictS00KQ,Joey's Seafood Restaurants,1149 - 5004 98th Avenue,T5A 2L9,"{""RestaurantsReservations"":""False"",""RestaurantsTakeOut"":""True"",""GoodForKids"":""True"",""RestaurantsDelivery"":""True"",""RestaurantsPriceRange2"":""2"",""BikeParking"":""False"",""RestaurantsTableService"":""True"",""GoodForMeal"":""{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}"",""HasTV"":""True"",""RestaurantsGoodForGroups"":""True"",""NoiseLevel"":""u'quiet'"",""OutdoorSeating"":""False"",""WiFi"":""u'free'"",""Caters"":""True"",""Alcohol"":""u'beer_and_wine'"",""RestaurantsAttire"":""'casual'"",""WheelchairAccessible"":""True"",""Ambience"":""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}"",""DogsAllowed"":""False"",""BusinessParking"":""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}""}",3.5,"Salad, Restaurants, Fish & Chips, Seafood"
Wok Box,-113.4909286,53.54438782,72454,Nosh Cafe,-113.58994,53.54087,[146 137 156 422 218  17   9],16,72454,dEZfyge3ugmO_PX3GTLYmQ,Nosh Cafe,10049 156 Street NW,T5P 2P8,"{""HasTV"":""False"",""BikeParking"":""True"",""RestaurantsPriceRange2"":""2"",""RestaurantsGoodForGroups"":""True"",""RestaurantsDelivery"":""False"",""Caters"":""False"",""NoiseLevel"":""u'average'"",""RestaurantsReservations"":""True"",""RestaurantsAttire"":""u'casual'"",""Ambience"":""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}"",""BusinessParking"":""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"",""WiFi"":""u'free'"",""OutdoorSeating"":""False"",""Alcohol"":""u'full_bar'"",""RestaurantsTakeOut"":""True"",""GoodForKids"":""True""}",4,"Indian, Restaurants"
Wok Box,-113.4909286,53.54438782,69919,Home Style Donair & Subs,-113.39447,53.481026,[ 51  96 399 113 220  36  77 480  59  37],16,69919,Q0V9myIhvsXeurSpe1vjSw,Home Style Donair & Subs,3424 43 Avenue NW,T6L 5W9,"{""BusinessParking"":""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"",""Ambience"":""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}"",""NoiseLevel"":""u'average'"",""BikeParking"":""False"",""RestaurantsAttire"":""u'casual'"",""RestaurantsGoodForGroups"":""True"",""RestaurantsPriceRange2"":""2"",""WiFi"":""u'no'"",""OutdoorSeating"":""False"",""RestaurantsReservations"":""False"",""HasTV"":""True"",""RestaurantsTakeOut"":""True"",""GoodForKids"":""True"",""RestaurantsDelivery"":""False"",""Alcohol"":""u'none'"",""RestaurantsTableService"":""False"",""GoodForMeal"":""{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'brunch': False, 'breakfast': False}""}",3.5,"Restaurants, Donairs, Food, Halal"
Wok Box,-113.4909286,53.54438782,79748,Carl's Jr,-113.44348,53.50711,[305 325 158],16,79748,oSayyuU2ngd8rWEGGb4_KQ,Carl's Jr,6950 75 Street NW,T6E 5A9,"{""Ambience"":""{'touristy': False, 'hipster': False, 'romantic': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': False}"",""RestaurantsDelivery"":""False"",""OutdoorSeating"":""False"",""DriveThru"":""True"",""BikeParking"":""True"",""WiFi"":""'free'"",""HasTV"":""True"",""GoodForKids"":""True"",""GoodForMeal"":""{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'brunch': False, 'breakfast': False}"",""Alcohol"":""u'none'"",""RestaurantsAttire"":""'casual'"",""RestaurantsTakeOut"":""True"",""RestaurantsPriceRange2"":""2"",""RestaurantsGoodForGroups"":""True"",""NoiseLevel"":""None"",""RestaurantsReservations"":""False"",""BusinessParking"":""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}""}",3,"Fast Food, Burgers, Restaurants"
Wok Box,-113.4909286,53.54438782,82771,Boston Pizza,-113.503456,53.541252,[293  82],16,82771,GPe-7Tvr_of8-JirusJ6hw,Boston Pizza,10620 Jasper Avenue NW,T5J 2A4,"{""Alcohol"":""u'full_bar'"",""GoodForKids"":""True"",""WiFi"":""u'free'"",""BusinessParking"":""{'garage': False, 'street': True, 'validated': False, 'lot': True, 'valet': False}"",""OutdoorSeating"":""True"",""RestaurantsTakeOut"":""True"",""RestaurantsGoodForGroups"":""True"",""NoiseLevel"":""u'average'"",""RestaurantsDelivery"":""True"",""RestaurantsAttire"":""u'casual'"",""RestaurantsPriceRange2"":""2"",""RestaurantsReservations"":""True"",""BikeParking"":""True"",""HasTV"":""True"",""Caters"":""True"",""GoodForMeal"":""{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'brunch': False, 'breakfast': False}"",""Ambience"":""{'touristy': False, 'hipster': False, 'romantic': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': True, 'casual': True}""}",2.5,"Restaurants, Pizza, Italian"
Wok Box,-113.4909286,53.54438782,29082,Albert's Family Restaurant,-113.45697,53.5212,"[198 212 226 555 171 268 142 424 281 129 421  42 409 485 380 507 253 153
 179 337 334 328 139 557  12 359]",16,29082,aNr8RvDKMv9EDuWJ3_OMbw,Albert's Family Restaurant,Bonnie Doon Mall,T6G 2C5,"{""RestaurantsDelivery"":""False"",""RestaurantsTakeOut"":""False"",""RestaurantsReservations"":""False"",""BusinessParking"":""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"",""GoodForKids"":""False"",""Alcohol"":""'beer_and_wine'"",""NoiseLevel"":""'average'"",""RestaurantsAttire"":""'casual'"",""RestaurantsGoodForGroups"":""True"",""GoodForMeal"":""{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}"",""Ambience"":""{'touristy': False, 'hipster': False, 'romantic': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': False}"",""DriveThru"":""False""}",3,"Breakfast & Brunch, Fast Food, American (Traditional), Restaurants"
Wok Box,-113.4909286,53.54438782,80690,Tim Hortons,-113.46788,53.587242,[],16,80690,ibhRPfV4SiqDeBKuuAhpWg,Tim Hortons,12820 82 Street NW,T5E 2T2,"{""RestaurantsPriceRange2"":""1"",""RestaurantsAttire"":""u'casual'"",""WiFi"":""'free'"",""OutdoorSeating"":""False"",""RestaurantsTakeOut"":""True"",""HasTV"":""False"",""BusinessParking"":""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"",""BikeParking"":""True""}",3,"Donuts, Coffee & Tea, Restaurants, Sandwiches, Food, Delis"
Wok Box,-113.4909286,53.54438782,71835,Jollibee,-113.50646,53.561985,[],16,71835,OHBWV-aG8_XfSJfAWwS0QQ,Jollibee,"1 Kingsway Garden Mall NW, Unit 2003",T5G 3A6,"{""DriveThru"":""True"",""RestaurantsTakeOut"":""True"",""RestaurantsDelivery"":""True""}",3.5,"Restaurants, Chicken Shop, Filipino, Fast Food"
Wok Box,-113.4909286,53.54438782,55546,Red Swan Pizza,-113.487274,53.520115,[252 146 137 156 422 218   9 423],16,55546,2POgnNz3br94YBco7z1UwA,Red Swan Pizza,10046 82 Avenue NW,T6E 1Z3,,4.5,"Pizza, Restaurants"
Wok Box,-113.4909286,53.54438782,47304,Japanese Village,-113.48719,53.598305,[489 418 462 202  30],16,47304,kqKN3YyDhFoi1RFKmwIEFw,Japanese Village,"9499 137 Avenue, Suite 1084B",T5E 6K9,"{""RestaurantsReservations"":""True"",""RestaurantsPriceRange2"":""3"",""RestaurantsGoodForGroups"":""True"",""NoiseLevel"":""u'average'"",""Alcohol"":""'full_bar'"",""RestaurantsDelivery"":""True"",""RestaurantsAttire"":""'dressy'"",""OutdoorSeating"":""False"",""WiFi"":""u'free'"",""HasTV"":""True"",""Ambience"":""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}"",""BikeParking"":""True"",""Caters"":""True"",""BusinessParking"":""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"",""RestaurantsTakeOut"":""True"",""GoodForKids"":""True"",""GoodForMeal"":""{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}""}",3,"Steakhouses, Sushi Bars, Restaurants, Seafood, Japanese"
Wok Box,-113.4909286,53.54438782,94536,The Canadian Brewhouse,-113.478516,53.425686,[514 362 394 294 540 307 353 355],16,94536,xBAvGWzKHpWKCdsIN4ofGg,The Canadian Brewhouse,9538 Ellerslie Road SW,T6X 0K6,"{""BusinessParking"":""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"",""BikeParking"":""False"",""Alcohol"":""u'full_bar'"",""OutdoorSeating"":""True"",""NoiseLevel"":""'average'"",""RestaurantsGoodForGroups"":""True"",""RestaurantsPriceRange2"":""2"",""RestaurantsTakeOut"":""True"",""Caters"":""True"",""HasTV"":""True"",""GoodForKids"":""False"",""GoodForMeal"":""{'dessert': None, 'latenight': True, 'lunch': True, 'dinner': True, 'brunch': None, 'breakfast': None}"",""RestaurantsReservations"":""True"",""Music"":""{'dj': None, 'background_music': False, 'no_music': False, 'jukebox': False, 'live': False, 'video': False, 'karaoke': False}"",""WiFi"":""'free'"",""Ambience"":""{'touristy': False, 'hipster': False, 'romantic': False, 'intimate': False, 'trendy': None, 'upscale': False, 'classy': False, 'casual': True}"",""RestaurantsAttire"":""'casual'"",""RestaurantsDelivery"":""False"",""BestNights"":""{'monday': False, 'tuesday': True, 'friday': False, 'wednesday': True, 'thursday': True, 'sunday': False, 'saturday': False}""}",3,"Canadian (New), Bars, Sports Bars, Restaurants, Nightlife"
Wok Box,-113.4909286,53.54438782,28197,Paramount Fine Foods,-113.49234,53.543877,[177 297 427],16,28197,TPMJifDNTrjVzkfadffuMw,Paramount Fine Foods,10025 102A Avenue NW,T5J 2Z2,"{""RestaurantsTakeOut"":""True"",""GoodForKids"":""True"",""Caters"":""True"",""RestaurantsReservations"":""False"",""BikeParking"":""False"",""RestaurantsTableService"":""False"",""NoiseLevel"":""u'average'"",""GoodForMeal"":""{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'brunch': False, 'breakfast': False}"",""RestaurantsDelivery"":""False"",""Alcohol"":""u'none'"",""OutdoorSeating"":""False"",""RestaurantsGoodForGroups"":""True"",""WiFi"":""u'no'"",""Ambience"":""{'touristy': False, 'hipster': False, 'romantic': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': True}"",""RestaurantsAttire"":""u'casual'"",""RestaurantsPriceRange2"":""2"",""BusinessParking"":""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"",""HasTV"":""True""}",2.5,"Restaurants, Middle Eastern"
Wok Box,-113.4909286,53.54438782,21270,Brooklyn Tomato,-113.45501,53.51837,[],16,21270,joD7IxY2ttMpl1_BWt-3IA,Brooklyn Tomato,8205 83rd Street,T6C 4E3,"{""RestaurantsDelivery"":""True"",""RestaurantsGoodForGroups"":""True"",""RestaurantsReservations"":""True"",""RestaurantsPriceRange2"":""2"",""Ambience"":""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}"",""Caters"":""False"",""RestaurantsAttire"":""u'casual'"",""HasTV"":""True"",""BusinessParking"":""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"",""OutdoorSeating"":""False"",""NoiseLevel"":""u'quiet'"",""RestaurantsTakeOut"":""True"",""Alcohol"":""u'none'"",""GoodForKids"":""True""}",4,"Vietnamese, Restaurants"
Wok Box,-113.4909286,53.54438782,60075,Swiss Chalet Rotisserie & Grill,-113.50886,53.541584,[415 496 487 315 338],16,60075,K-WZ5iVCGGnyq9aaXXG--A,Swiss Chalet Rotisserie & Grill,"10188 - 109Th St, Nw",T5J 1M7,"{""WiFi"":""'no'"",""OutdoorSeating"":""False"",""Alcohol"":""'beer_and_wine'"",""BikeParking"":""True"",""RestaurantsGoodForGroups"":""True"",""Ambience"":""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}"",""GoodForKids"":""True"",""RestaurantsTakeOut"":""True"",""RestaurantsReservations"":""False"",""RestaurantsDelivery"":""True"",""RestaurantsAttire"":""'casual'"",""DriveThru"":""True"",""NoiseLevel"":""'quiet'"",""RestaurantsPriceRange2"":""2"",""HasTV"":""True""}",3.5,"Canadian (New), Comfort Food, American (Traditional), Restaurants"
Wok Box,-113.4909286,53.54438782,64562,Press'd The Sandwich Company,-113.49734,53.513935,[300 118 403],16,64562,7h4p5AZK0tGBRzEilLFyfg,Press'd The Sandwich Company,10377 78th Avenue NW,T6E 6T2,"{""WheelchairAccessible"":""True"",""RestaurantsTakeOut"":""True"",""RestaurantsTableService"":""False"",""Alcohol"":""u'none'"",""BusinessParking"":""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"",""RestaurantsDelivery"":""True"",""WiFi"":""u'no'"",""OutdoorSeating"":""False"",""RestaurantsReservations"":""False"",""Caters"":""True"",""BikeParking"":""True"",""RestaurantsGoodForGroups"":""True"",""GoodForKids"":""True"",""HasTV"":""True"",""RestaurantsPriceRange2"":""1"",""Ambience"":""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}"",""GoodForMeal"":""{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}"",""RestaurantsAttire"":""'casual'"",""NoiseLevel"":""u'quiet'""}",4,"Restaurants, Soup, Sandwiches, Event Planning & Services, Caterers"
Mucho Burrito,-113.5092773,53.54120636,18198,Dairy Queen Grill & Chill,-113.42501,53.45337,[  1 407 175 483 386 527 464],26,18198,Me0-sq4I3CPPkwnzRPdK-w,Dairy Queen Grill & Chill,5403 - 23rd Ave,T6L 7G4,"{""RestaurantsReservations"":""False"",""RestaurantsTakeOut"":""True"",""GoodForKids"":""True"",""RestaurantsAttire"":""'casual'"",""RestaurantsPriceRange2"":""2"",""DriveThru"":""True"",""OutdoorSeating"":""True"",""HasTV"":""True"",""BikeParking"":""True"",""RestaurantsGoodForGroups"":""True"",""GoodForMeal"":""{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}"",""Alcohol"":""u'none'"",""Ambience"":""{'touristy': False, 'hipster': False, 'romantic': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': False}"",""BusinessParking"":""{'garage': False, 'street': None, 'validated': None, 'lot': None, 'valet': False}"",""RestaurantsDelivery"":""True""}",2,"Ice Cream & Frozen Yogurt, Fast Food, Food, Restaurants"
Mucho Burrito,-113.5092773,53.54120636,3501,Pampa Brazilian Steakhouse,-113.50825,53.537697,[ 76 326  21 385 119 282 150  41 192 145 170  72 476 329 410  46 430 515],26,3501,bbzD8rZl3i-NTzernYkxig,Pampa Brazilian Steakhouse,9929-109 Street NW,T5K 1H6,"{""OutdoorSeating"":""True"",""Alcohol"":""u'full_bar'"",""WiFi"":""u'free'"",""Caters"":""False"",""RestaurantsGoodForGroups"":""True"",""GoodForKids"":""False"",""HasTV"":""False"",""NoiseLevel"":""u'average'"",""RestaurantsAttire"":""u'casual'"",""RestaurantsReservations"":""True"",""RestaurantsTakeOut"":""False"",""RestaurantsTableService"":""True"",""RestaurantsDelivery"":""False"",""BikeParking"":""True"",""BusinessParking"":""{'garage': True, 'street': True, 'validated': False, 'lot': False, 'valet': False}"",""GoodForDancing"":""False"",""CoatCheck"":""True"",""RestaurantsPriceRange2"":""3"",""GoodForMeal"":""{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': True, 'brunch': False, 'breakfast': False}"",""Smoking"":""u'no'"",""Ambience"":""{'touristy': False, 'hipster': False, 'romantic': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': True, 'casual': False}"",""Music"":""{u'dj': False, u'live': False, u'jukebox': False, u'video': False, u'background_music': False, u'karaoke': False, u'no_music': False}""}",4,"Wine Bars, Bars, Brazilian, Steakhouses, Restaurants, Nightlife"
Mucho Burrito,-113.5092773,53.54120636,8702,Chicago Deep Dish Pizza,-113.601326,53.540936,[146 137 156 422 218  17   9],26,8702,qSPJp_PJm41li3fpH-XVpA,Chicago Deep Dish Pizza,16203 Stony Plain Road NW,T5P 4A3,"{""RestaurantsGoodForGroups"":""True"",""RestaurantsTakeOut"":""True"",""GoodForKids"":""True"",""RestaurantsReservations"":""False"",""BikeParking"":""False"",""RestaurantsAttire"":""u'casual'"",""HasTV"":""True"",""Alcohol"":""u'none'"",""BusinessParking"":""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"",""RestaurantsDelivery"":""True"",""RestaurantsPriceRange2"":""2"",""WiFi"":""'no'"",""OutdoorSeating"":""False""}",3.5,"Pizza, Restaurants"
Mucho Burrito,-113.5092773,53.54120636,52688,Cafe Amore Bistro,-113.5069,53.549686,[305 325 158],26,52688,ivpULDSBS4mP3mJqmziKQw,Cafe Amore Bistro,10807 106 Avenue NW,T5H 4A7,"{""RestaurantsPriceRange2"":""2"",""BusinessParking"":""{'garage': False, 'street': True, 'validated': False, 'lot': True, 'valet': False}"",""RestaurantsGoodForGroups"":""True"",""Alcohol"":""u'full_bar'"",""RestaurantsTakeOut"":""True"",""HasTV"":""True"",""OutdoorSeating"":""True"",""BikeParking"":""True"",""RestaurantsReservations"":""True"",""Caters"":""True"",""WiFi"":""u'free'"",""NoiseLevel"":""u'average'"",""RestaurantsTableService"":""True"",""Ambience"":""{'touristy': False, 'hipster': False, 'romantic': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': True, 'casual': True}"",""RestaurantsDelivery"":""True"",""GoodForKids"":""True"",""WheelchairAccessible"":""True"",""RestaurantsAttire"":""u'casual'"",""GoodForMeal"":""{'dessert': None, 'latenight': False, 'lunch': None, 'dinner': True, 'brunch': False, 'breakfast': False}""}",4.5,"Italian, Restaurants, Cafes"
Mucho Burrito,-113.5092773,53.54120636,6449,Copper Branch,-113.488235,53.45298,[293  82],26,6449,ZvPmToHy63165FkXZ8otEA,Copper Branch,2205 101 ST NW,T6N 0B8,"{""HasTV"":""True"",""Ambience"":""{'touristy': False, 'hipster': False, 'romantic': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': False}"",""GoodForMeal"":""{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}"",""BusinessParking"":""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"",""RestaurantsDelivery"":""True""}",3.5,"Vegan, Gluten-Free, Vegetarian, Restaurants"
Mucho Burrito,-113.5092773,53.54120636,9179,Original Joe's Restaurant & Bar,-113.476494,53.42603,"[198 212 226 555 171 268 142 424 281 129 421  42 409 485 380 507 253 153
 179 337 334 328 139 557  12 359]",26,9179,tYE0zj5xKRubmV1H_nRo_w,Original Joe's Restaurant & Bar,9246 Ellerslie Road SW,T6X 0K6,"{""RestaurantsTakeOut"":""True"",""BusinessParking"":""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"",""Alcohol"":""u'full_bar'"",""GoodForKids"":""False"",""RestaurantsDelivery"":""False"",""Ambience"":""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}"",""RestaurantsAttire"":""'casual'"",""OutdoorSeating"":""True"",""RestaurantsPriceRange2"":""2"",""BikeParking"":""True"",""HasTV"":""True"",""RestaurantsGoodForGroups"":""True"",""NoiseLevel"":""u'average'"",""HappyHour"":""True"",""RestaurantsReservations"":""True"",""GoodForMeal"":""{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}"",""Music"":""{'dj': False, 'background_music': False, 'no_music': False, 'jukebox': False, 'live': False, 'video': False, 'karaoke': False}""}",4,"Nightlife, Bars, Pubs, American (Traditional), Restaurants"
Mucho Burrito,-113.5092773,53.54120636,70357,Booster Juice,-113.49244,53.54353,[],26,70357,PsbPB_5GxWPiayrNJM7V9Q,Booster Juice,"10205 101 Street NW, Suite 134",T5J 2Y8,"{""RestaurantsTakeOut"":""True"",""BusinessParking"":""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"",""RestaurantsPriceRange2"":""2"",""BikeParking"":""True"",""RestaurantsDelivery"":""True"",""WiFi"":""'no'"",""DriveThru"":""True""}",3.5,"Restaurants, Food, Juice Bars & Smoothies"
Mucho Burrito,-113.5092773,53.54120636,21403,Fatburger,-113.42617,53.453106,[],26,21403,m3Y7ErMyrJJ3cV8KjUoYrw,Fatburger,5611 23rd Avenue NW,T6L 7B9,"{""NoiseLevel"":""u'loud'"",""RestaurantsPriceRange2"":""2"",""HasTV"":""True"",""Alcohol"":""u'none'"",""Ambience"":""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}"",""RestaurantsReservations"":""False"",""RestaurantsTakeOut"":""True"",""RestaurantsAttire"":""u'casual'"",""Caters"":""False"",""BusinessParking"":""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"",""RestaurantsGoodForGroups"":""True"",""WiFi"":""u'no'"",""OutdoorSeating"":""False"",""GoodForKids"":""True"",""BikeParking"":""True"",""RestaurantsDelivery"":""False""}",3,"Fast Food, Burgers, Restaurants"
Mucho Burrito,-113.5092773,53.54120636,41164,Boston Pizza,-113.422226,53.540478,[252 146 137 156 422 218   9 423],26,41164,Jy7LmTUXkjnJQqmtky565Q,Boston Pizza,5515 101 Avenue NW,T6A 3Z7,"{""GoodForKids"":""True"",""RestaurantsDelivery"":""True"",""RestaurantsPriceRange2"":""2"",""RestaurantsGoodForGroups"":""True"",""Alcohol"":""'full_bar'"",""RestaurantsReservations"":""True"",""RestaurantsTakeOut"":""True"",""Caters"":""True"",""RestaurantsAttire"":""'casual'"",""OutdoorSeating"":""True"",""BusinessParking"":""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"",""BikeParking"":""True"",""HasTV"":""True"",""NoiseLevel"":""'average'"",""GoodForMeal"":""{'dessert': True, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}"",""WiFi"":""'no'"",""Ambience"":""{u'hipster': False, u'casual': None, u'touristy': None, u'trendy': None, u'intimate': None, u'romantic': None, u'classy': None, u'upscale': False}""}",3,"Pizza, Italian, Restaurants"
Mucho Burrito,-113.5092773,53.54120636,88527,Rice Bowl Deluxe,-113.49652,53.515076,[489 418 462 202  30],26,88527,AKTGG5JELDBzCcHufDPyEw,Rice Bowl Deluxe,7909A - 104 St.  NW,T6E 6N8,"{""Alcohol"":""u'none'"",""RestaurantsPriceRange2"":""2"",""RestaurantsTableService"":""False"",""GoodForKids"":""True"",""NoiseLevel"":""u'average'"",""RestaurantsAttire"":""'casual'"",""Caters"":""False"",""OutdoorSeating"":""False"",""Ambience"":""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': True, 'upscale': False, 'casual': False}"",""BikeParking"":""True"",""RestaurantsTakeOut"":""True"",""HasTV"":""True"",""BusinessParking"":""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"",""WiFi"":""'free'"",""RestaurantsGoodForGroups"":""True"",""RestaurantsReservations"":""False"",""RestaurantsDelivery"":""True"",""GoodForMeal"":""{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'brunch': False, 'breakfast': False}""}",3.5,"Food, Restaurants, Desserts, Chinese"
Mucho Burrito,-113.5092773,53.54120636,74055,South St. Burger,-113.54189,53.61453,[514 362 394 294 540 307 353 355],26,74055,EWRvw22DTRR3F17aHutpmg,South St. Burger,15134 127 St NW,T6V 0C5,"{""BikeParking"":""False"",""WiFi"":""'free'"",""Alcohol"":""u'none'"",""RestaurantsReservations"":""False"",""GoodForKids"":""True"",""RestaurantsTakeOut"":""True"",""GoodForMeal"":""{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'brunch': False, 'breakfast': False}"",""RestaurantsGoodForGroups"":""False"",""RestaurantsDelivery"":""False"",""OutdoorSeating"":""True"",""DriveThru"":""False"",""NoiseLevel"":""u'average'"",""BusinessParking"":""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"",""HasTV"":""True"",""RestaurantsTableService"":""False"",""RestaurantsPriceRange2"":""2"",""RestaurantsAttire"":""u'casual'"",""Ambience"":""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}""}",2.5,"Fast Food, Restaurants, Burgers"
Montana's BBQ & Bar,-113.4948807,53.47621155,51193,The Canadian Brewhouse,-113.49084,53.58546,[  1 407 175 483 386 527 464],5,51193,Jtn0Z2F93dOJdeheDa6G_g,The Canadian Brewhouse,12711 97 St.,T5E 4C1,"{""Alcohol"":""u'full_bar'"",""HasTV"":""True"",""Ambience"":""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}"",""NoiseLevel"":""u'loud'"",""BusinessParking"":""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"",""OutdoorSeating"":""True"",""GoodForMeal"":""{'dessert': True, 'latenight': False, 'lunch': False, 'dinner': True, 'brunch': False, 'breakfast': False}"",""Music"":""{'dj': False, 'background_music': False, 'no_music': False, 'jukebox': False, 'live': False, 'video': False, 'karaoke': False}"",""RestaurantsDelivery"":""False"",""BikeParking"":""True"",""RestaurantsAttire"":""'casual'"",""RestaurantsPriceRange2"":""2"",""RestaurantsReservations"":""True"",""WiFi"":""'free'"",""GoodForKids"":""False"",""RestaurantsTakeOut"":""True"",""Caters"":""True"",""BestNights"":""{'monday': False, 'tuesday': False, 'friday': True, 'wednesday': False, 'thursday': False, 'sunday': True, 'saturday': True}"",""RestaurantsGoodForGroups"":""True""}",3.5,"Bars, Canadian (New), Pubs, Nightlife, Sports Bars, Restaurants"
